,county,date_number,Population,region,pop_dens,tranlevel
18163,Nash,1,96101.0,Coastal,175.7,Moderate
18122,Cleveland,1,99332.0,Western,214.4,Moderate
18152,Lee,1,64360.0,Eastern,248.1,Moderate
18160,Mitchell,1,14783.0,Western,67.4,Error
18162,Moore,1,102966.0,Eastern,142.9,Moderate
18121,Clay,1,11238.0,Western,51.6,Substantial
18126,Currituck,1,29385.0,Coastal,107.3,Moderate
18150,Johnston,1,224833.0,Coastal,272.7,Moderate
18157,Martin,1,21503.0,Coastal,48.3,Moderate
18161,Montgomery,1,25485.0,Eastern,52.4,Low
18124,Craven,1,102568.0,Coastal,142.5,Low
18167,Orange,1,148331.0,Eastern,374.0,Low
18118,Chatham,1,77095.0,Eastern,111.9,Low
18149,Jackson,1,41919.0,Western,87.8,Error
18155,Macon,1,37041.0,Western,71.8,Moderate
18125,Cumberland,1,341793.0,Eastern,512.9,Moderate
18156,Madison,1,21146.0,Western,47.1,Error
18128,Davidson,1,171752.0,Northern,305.4,Moderate
18117,Catawba,1,162841.0,Northern,400.2,Moderate
18168,Pamlico,1,12215.0,Coastal,36.5,Error
18289,Union,2,244960.0,Central,376.6,Moderate
18202,Alleghany,2,11057.0,Northern,46.4,Low
18222,Cleveland,2,99332.0,Western,214.4,Moderate
18206,Beaufort,2,44150.0,Coastal,53.6,Moderate
18224,Craven,2,102568.0,Coastal,142.5,Low
18241,Halifax,2,47859.0,Coastal,67.2,Moderate
18253,Lenoir,2,54323.0,Coastal,138.1,Moderate
18288,Tyrrell,2,3315.0,Coastal,8.3,Low
18260,Mitchell,2,14783.0,Western,67.4,Low
18207,Bertie,2,17302.0,Coastal,25.7,Moderate
18297,Wilson,2,79078.0,Coastal,214.3,Substantial
18287,Transylvania,2,32825.0,Western,87.2,Error
18237,Graham,2,7935.0,Western,27.5,High
18232,Edgecombe,2,48604.0,Coastal,96.7,Low
18226,Currituck,2,29385.0,Coastal,107.3,Low
18255,Macon,2,37041.0,Western,71.8,Moderate
18296,Wilkes,2,65151.0,Northern,87.5,Moderate
18294,Watauga,2,54804.0,Northern,173.1,Moderate
18259,Mecklenburg,2,1128426.0,Central,2130.4,Moderate
18293,Washington,2,10708.0,Coastal,31.8,Moderate
18257,Martin,2,21503.0,Coastal,48.3,Moderate
18238,Granville,2,60720.0,Eastern,114.6,Moderate
18223,Columbus,2,49795.0,Coastal,54.0,Moderate
18239,Greene,2,19978.0,Coastal,76.7,Moderate
18256,Madison,2,21146.0,Western,47.1,Error
18204,Ashe,2,26506.0,Northern,62.3,Moderate
18203,Anson,2,22028.0,Central,41.5,Moderate
18240,Guilford,2,545484.0,Northern,838.0,Moderate
18292,Warren,2,18621.0,Eastern,43.4,Moderate
18291,Wake,2,1154170.0,Eastern,1353.3,Moderate
18225,Cumberland,2,341793.0,Eastern,512.9,Moderate
18234,Franklin,2,70655.0,Eastern,139.4,Low
18205,Avery,2,17347.0,Western,72.0,Moderate
18233,Forsyth,2,387703.0,Northern,938.1,Low
18258,McDowell,2,44151.0,Western,101.3,Error
18290,Vance,2,41665.0,Eastern,168.7,Low
18295,Wayne,2,115895.0,Coastal,211.8,Moderate
18286,Swain,2,14046.0,Western,26.8,Moderate
18254,Lincoln,2,88742.0,Central,293.4,Moderate
18262,Moore,2,102966.0,Eastern,142.9,Moderate
18208,Bladen,2,29171.0,Coastal,33.8,High
18266,Onslow,2,207928.0,Coastal,268.4,Moderate
18250,Johnston,2,224833.0,Coastal,272.7,Moderate
18213,Caldwell,2,81319.0,Northern,170.9,Error
18246,Hoke,2,53783.0,Eastern,133.5,Moderate
18276,Richmond,2,43006.0,Eastern,90.7,Substantial
18218,Chatham,2,77095.0,Eastern,111.9,Low
18275,Randolph,2,143325.0,Northern,184.3,Moderate
18214,Camden,2,10537.0,Coastal,43.1,Low
18274,Polk,2,19461.0,Western,81.3,Low
18267,Orange,2,148331.0,Eastern,374.0,Low
18273,Pitt,2,173536.0,Coastal,261.0,Moderate
18229,Davie,2,43127.0,Northern,162.0,Moderate
18268,Pamlico,2,12215.0,Coastal,36.5,Error
18249,Jackson,2,41919.0,Western,87.8,Error
18247,Hyde,2,4595.0,Coastal,7.5,Low
18215,Carteret,2,69039.0,Coastal,133.3,Moderate
18272,Person,2,39048.0,Eastern,99.7,Moderate
18217,Catawba,2,162841.0,Northern,400.2,Moderate
18248,Iredell,2,192986.0,Northern,325.0,Moderate
18271,Perquimans,2,13049.0,Coastal,52.6,Low
18228,Davidson,2,171752.0,Northern,305.4,Moderate
18216,Caswell,2,22400.0,Eastern,53.5,Moderate
18270,Pender,2,62250.0,Coastal,69.1,Low
18277,Robeson,2,115899.0,Coastal,123.0,Moderate
18230,Duplin,2,48249.0,Coastal,59.8,Substantial
18212,Cabarrus,2,232873.0,Central,625.1,Moderate
18219,Cherokee,2,28738.0,Western,63.2,Moderate
18221,Clay,2,11238.0,Western,51.6,Substantial
18242,Harnett,2,134986.0,Eastern,224.5,Moderate
18285,Surry,2,70573.0,Northern,134.0,Moderate
18284,Stokes,2,44422.0,Northern,99.1,Error
18269,Pasquotank,2,40966.0,Coastal,178.8,Moderate
18243,Haywood,2,62831.0,Western,112.2,Low
18252,Lee,2,64360.0,Eastern,248.1,Moderate
18209,Brunswick,2,144821.0,Coastal,160.8,Low
18283,Stanly,2,62143.0,Central,158.2,Error
18282,Scotland,2,33662.0,Eastern,107.1,Moderate
18231,Durham,2,331347.0,Eastern,1133.7,Moderate
18261,Montgomery,2,25485.0,Eastern,52.4,Low
18263,Nash,2,96101.0,Coastal,175.7,Moderate
18210,Buncombe,2,271638.0,Western,410.4,Low
18281,Sampson,2,58371.0,Coastal,62.4,Moderate
18251,Jones,2,9076.0,Coastal,19.5,Error
18244,Henderson,2,117429.0,Western,311.8,Low
18280,Rutherford,2,63870.0,Western,114.0,Low
18264,New Hanover,2,230423.0,Coastal,1174.0,Moderate
18211,Burke,2,88398.0,Western,173.0,Low
18279,Rowan,2,148565.0,Northern,287.1,Moderate
18227,Dare,2,37817.0,Coastal,96.3,Moderate
18278,Rockingham,2,90457.0,Northern,161.0,Low
18265,Northampton,2,16953.0,Eastern,32.6,Error
18220,Chowan,2,13646.0,Coastal,79.4,Moderate
18298,Yadkin,2,36925.0,Northern,111.1,Low
18245,Hertford,2,20374.0,Coastal,61.0,Moderate
18235,Gaston,2,233387.0,Central,640.7,Low
18200,Alamance,2,175029.0,Northern,404.8,Moderate
18236,Gates,2,10324.0,Coastal,30.8,Error
18299,Yancey,2,18320.0,Western,59.1,Error
18201,Alexander,2,36172.0,Northern,140.2,Moderate
18376,Richmond,3,43006.0,Eastern,90.7,Substantial
18341,Halifax,3,47859.0,Coastal,67.2,Moderate
18375,Randolph,3,143325.0,Northern,184.3,Moderate
18314,Camden,3,10537.0,Coastal,43.1,Low
18396,Wilkes,3,65151.0,Northern,87.5,Moderate
18353,Lenoir,3,54323.0,Coastal,138.1,Moderate
18374,Polk,3,19461.0,Western,81.3,Low
18306,Beaufort,3,44150.0,Coastal,53.6,Moderate
18360,Mitchell,3,14783.0,Western,67.4,Low
18389,Union,3,244960.0,Central,376.6,Moderate
18326,Currituck,3,29385.0,Coastal,107.3,Low
18373,Pitt,3,173536.0,Coastal,261.0,Moderate
18329,Davie,3,43127.0,Northern,162.0,Moderate
18347,Hyde,3,4595.0,Coastal,7.5,Low
18361,Montgomery,3,25485.0,Eastern,52.4,Low
18322,Cleveland,3,99332.0,Western,214.4,Moderate
18346,Hoke,3,53783.0,Eastern,133.5,Moderate
18343,Haywood,3,62831.0,Western,112.2,Low
18359,Mecklenburg,3,1128426.0,Central,2130.4,Moderate
18386,Swain,3,14046.0,Western,26.8,Moderate
18379,Rowan,3,148565.0,Northern,287.1,Moderate
18357,Martin,3,21503.0,Coastal,48.3,Moderate
18332,Edgecombe,3,48604.0,Coastal,96.7,Low
18387,Transylvania,3,32825.0,Western,87.2,Error
18378,Rockingham,3,90457.0,Northern,161.0,Low
18399,Yancey,3,18320.0,Western,59.1,Error
18388,Tyrrell,3,3315.0,Coastal,8.3,Low
18302,Alleghany,3,11057.0,Northern,46.4,Low
18330,Duplin,3,48249.0,Coastal,59.8,Substantial
18323,Columbus,3,49795.0,Coastal,54.0,Moderate
18345,Hertford,3,20374.0,Coastal,61.0,Moderate
18354,Lincoln,3,88742.0,Central,293.4,Moderate
18358,McDowell,3,44151.0,Western,101.3,Error
18307,Bertie,3,17302.0,Coastal,25.7,Moderate
18377,Robeson,3,115899.0,Coastal,123.0,Moderate
18312,Cabarrus,3,232873.0,Central,625.1,Moderate
18313,Caldwell,3,81319.0,Northern,170.9,Error
18340,Guilford,3,545484.0,Northern,838.0,Moderate
18301,Alexander,3,36172.0,Northern,140.2,Moderate
18392,Warren,3,18621.0,Eastern,43.4,Moderate
18338,Granville,3,60720.0,Eastern,114.6,Moderate
18368,Pamlico,3,12215.0,Coastal,36.5,Error
18367,Orange,3,148331.0,Eastern,374.0,Low
18318,Chatham,3,77095.0,Eastern,111.9,Low
18350,Johnston,3,224833.0,Coastal,272.7,Moderate
18320,Chowan,3,13646.0,Coastal,79.4,Moderate
18349,Jackson,3,41919.0,Western,87.8,Error
18304,Ashe,3,26506.0,Northern,62.3,Moderate
18394,Watauga,3,54804.0,Northern,173.1,Moderate
18339,Greene,3,19978.0,Coastal,76.7,Moderate
18319,Cherokee,3,28738.0,Western,63.2,Moderate
18351,Jones,3,9076.0,Coastal,19.5,Error
18364,New Hanover,3,230423.0,Coastal,1174.0,Moderate
18393,Washington,3,10708.0,Coastal,31.8,Moderate
18365,Northampton,3,16953.0,Eastern,32.6,Error
18366,Onslow,3,207928.0,Coastal,268.4,Moderate
18363,Nash,3,96101.0,Coastal,175.7,Moderate
18352,Lee,3,64360.0,Eastern,248.1,Moderate
18317,Catawba,3,162841.0,Northern,400.2,Moderate
18395,Wayne,3,115895.0,Coastal,211.8,Moderate
18390,Vance,3,41665.0,Eastern,168.7,Low
18372,Person,3,39048.0,Eastern,99.7,Moderate
18348,Iredell,3,192986.0,Northern,325.0,Moderate
18334,Franklin,3,70655.0,Eastern,139.4,Low
18371,Perquimans,3,13049.0,Coastal,52.6,Low
18316,Caswell,3,22400.0,Eastern,53.5,Moderate
18333,Forsyth,3,387703.0,Northern,938.1,Low
18321,Clay,3,11238.0,Western,51.6,Substantial
18303,Anson,3,22028.0,Central,41.5,Moderate
18370,Pender,3,62250.0,Coastal,69.1,Low
18309,Brunswick,3,144821.0,Coastal,160.8,Low
18305,Avery,3,17347.0,Western,72.0,Moderate
18391,Wake,3,1154170.0,Eastern,1353.3,Moderate
18362,Moore,3,102966.0,Eastern,142.9,Moderate
18369,Pasquotank,3,40966.0,Coastal,178.8,Moderate
18328,Davidson,3,171752.0,Northern,305.4,Moderate
18315,Carteret,3,69039.0,Coastal,133.3,Moderate
18311,Burke,3,88398.0,Western,173.0,Low
18327,Dare,3,37817.0,Coastal,96.3,Moderate
18335,Gaston,3,233387.0,Central,640.7,Low
18344,Henderson,3,117429.0,Western,311.8,Low
18308,Bladen,3,29171.0,Coastal,33.8,High
18310,Buncombe,3,271638.0,Western,410.4,Low
18384,Stokes,3,44422.0,Northern,99.1,Error
18385,Surry,3,70573.0,Northern,134.0,Moderate
18336,Gates,3,10324.0,Coastal,30.8,Error
18382,Scotland,3,33662.0,Eastern,107.1,Moderate
18397,Wilson,3,79078.0,Coastal,214.3,Substantial
18356,Madison,3,21146.0,Western,47.1,Error
18324,Craven,3,102568.0,Coastal,142.5,Low
18381,Sampson,3,58371.0,Coastal,62.4,Moderate
18342,Harnett,3,134986.0,Eastern,224.5,Moderate
18325,Cumberland,3,341793.0,Eastern,512.9,Moderate
18383,Stanly,3,62143.0,Central,158.2,Error
18300,Alamance,3,175029.0,Northern,404.8,Moderate
18337,Graham,3,7935.0,Western,27.5,High
18380,Rutherford,3,63870.0,Western,114.0,Low
18398,Yadkin,3,36925.0,Northern,111.1,Low
18355,Macon,3,37041.0,Western,71.8,Moderate
18331,Durham,3,331347.0,Eastern,1133.7,Moderate
18488,Tyrrell,4,3315.0,Coastal,8.3,Low
18491,Wake,4,1154170.0,Eastern,1353.3,Moderate
18449,Jackson,4,41919.0,Western,87.8,Error
18408,Bladen,4,29171.0,Coastal,33.8,High
18462,Moore,4,102966.0,Eastern,142.9,Moderate
18474,Polk,4,19461.0,Western,81.3,Low
18469,Pasquotank,4,40966.0,Coastal,178.8,Moderate
18482,Scotland,4,33662.0,Eastern,107.1,Moderate
18427,Dare,4,37817.0,Coastal,96.3,Moderate
18414,Camden,4,10537.0,Coastal,43.1,Low
18463,Nash,4,96101.0,Coastal,175.7,Moderate
18496,Wilkes,4,65151.0,Northern,87.5,Moderate
18428,Davidson,4,171752.0,Northern,305.4,Moderate
18422,Cleveland,4,99332.0,Western,214.4,Moderate
18475,Randolph,4,143325.0,Northern,184.3,Moderate
18417,Catawba,4,162841.0,Northern,400.2,Moderate
18476,Richmond,4,43006.0,Eastern,90.7,Substantial
18441,Halifax,4,47859.0,Coastal,67.2,Moderate
18452,Lee,4,64360.0,Eastern,248.1,Moderate
18453,Lenoir,4,54323.0,Coastal,138.1,Moderate
18456,Madison,4,21146.0,Western,47.1,Error
18406,Beaufort,4,44150.0,Coastal,53.6,Moderate
18460,Mitchell,4,14783.0,Western,67.4,Low
18437,Graham,4,7935.0,Western,27.5,High
18472,Person,4,39048.0,Eastern,99.7,Moderate
18434,Franklin,4,70655.0,Eastern,139.4,Low
18431,Durham,4,331347.0,Eastern,1133.7,Moderate
18490,Vance,4,41665.0,Eastern,168.7,Low
18495,Wayne,4,115895.0,Coastal,211.8,Moderate
18471,Perquimans,4,13049.0,Coastal,52.6,Low
18401,Alexander,4,36172.0,Northern,140.2,Moderate
18443,Haywood,4,62831.0,Western,112.2,Low
18416,Caswell,4,22400.0,Eastern,53.5,Moderate
18440,Guilford,4,545484.0,Northern,838.0,Moderate
18435,Gaston,4,233387.0,Central,640.7,Low
18442,Harnett,4,134986.0,Eastern,224.5,Moderate
18433,Forsyth,4,387703.0,Northern,938.1,Low
18415,Carteret,4,69039.0,Coastal,133.3,Moderate
18424,Craven,4,102568.0,Coastal,142.5,Low
18461,Montgomery,4,25485.0,Eastern,52.4,Low
18421,Clay,4,11238.0,Western,51.6,Substantial
18447,Hyde,4,4595.0,Coastal,7.5,Low
18400,Alamance,4,175029.0,Northern,404.8,Moderate
18473,Pitt,4,173536.0,Coastal,261.0,Moderate
18470,Pender,4,62250.0,Coastal,69.1,Low
18426,Currituck,4,29385.0,Coastal,107.3,Low
18403,Anson,4,22028.0,Central,41.5,Moderate
18489,Union,4,244960.0,Central,376.6,Moderate
18454,Lincoln,4,88742.0,Central,293.4,Moderate
18405,Avery,4,17347.0,Western,72.0,Moderate
18429,Davie,4,43127.0,Northern,162.0,Moderate
18485,Surry,4,70573.0,Northern,134.0,Moderate
18410,Buncombe,4,271638.0,Western,410.4,Low
18498,Yadkin,4,36925.0,Northern,111.1,Low
18446,Hoke,4,53783.0,Eastern,133.5,Moderate
18466,Onslow,4,207928.0,Coastal,268.4,Moderate
18404,Ashe,4,26506.0,Northern,62.3,Moderate
18484,Stokes,4,44422.0,Northern,99.1,Error
18412,Cabarrus,4,232873.0,Central,625.1,Moderate
18444,Henderson,4,117429.0,Western,311.8,Low
18492,Warren,4,18621.0,Eastern,43.4,Moderate
18499,Yancey,4,18320.0,Western,59.1,Error
18402,Alleghany,4,11057.0,Northern,46.4,Low
18497,Wilson,4,79078.0,Coastal,214.3,Substantial
18494,Watauga,4,54804.0,Northern,173.1,Moderate
18478,Rockingham,4,90457.0,Northern,161.0,Low
18439,Greene,4,19978.0,Coastal,76.7,Moderate
18487,Transylvania,4,32825.0,Western,87.2,Error
18430,Duplin,4,48249.0,Coastal,59.8,Substantial
18409,Brunswick,4,144821.0,Coastal,160.8,Low
18432,Edgecombe,4,48604.0,Coastal,96.7,Low
18451,Jones,4,9076.0,Coastal,19.5,Error
18455,Macon,4,37041.0,Western,71.8,Moderate
18457,Martin,4,21503.0,Coastal,48.3,Moderate
18464,New Hanover,4,230423.0,Coastal,1174.0,Moderate
18480,Rutherford,4,63870.0,Western,114.0,Low
18479,Rowan,4,148565.0,Northern,287.1,Moderate
18493,Washington,4,10708.0,Coastal,31.8,Moderate
18486,Swain,4,14046.0,Western,26.8,Moderate
18465,Northampton,4,16953.0,Eastern,32.6,Error
18411,Burke,4,88398.0,Western,173.0,Low
18425,Cumberland,4,341793.0,Eastern,512.9,Moderate
18419,Cherokee,4,28738.0,Western,63.2,Moderate
18423,Columbus,4,49795.0,Coastal,54.0,Moderate
18448,Iredell,4,192986.0,Northern,325.0,Moderate
18418,Chatham,4,77095.0,Eastern,111.9,Low
18483,Stanly,4,62143.0,Central,158.2,Error
18459,Mecklenburg,4,1128426.0,Central,2130.4,Moderate
18450,Johnston,4,224833.0,Coastal,272.7,Moderate
18407,Bertie,4,17302.0,Coastal,25.7,Moderate
18481,Sampson,4,58371.0,Coastal,62.4,Moderate
18468,Pamlico,4,12215.0,Coastal,36.5,Error
18467,Orange,4,148331.0,Eastern,374.0,Low
18458,McDowell,4,44151.0,Western,101.3,Error
18413,Caldwell,4,81319.0,Northern,170.9,Error
18445,Hertford,4,20374.0,Coastal,61.0,Moderate
18420,Chowan,4,13646.0,Coastal,79.4,Moderate
18477,Robeson,4,115899.0,Coastal,123.0,Moderate
18436,Gates,4,10324.0,Coastal,30.8,Error
18438,Granville,4,60720.0,Eastern,114.6,Moderate
18555,Macon,5,37041.0,Western,71.8,Low
18551,Jones,5,9076.0,Coastal,19.5,Error
18538,Granville,5,60720.0,Eastern,114.6,Low
18516,Caswell,5,22400.0,Eastern,53.5,Low
18584,Stokes,5,44422.0,Northern,99.1,Error
18598,Yadkin,5,36925.0,Northern,111.1,Low
18531,Durham,5,331347.0,Eastern,1133.7,Moderate
18564,New Hanover,5,230423.0,Coastal,1174.0,Low
18593,Washington,5,10708.0,Coastal,31.8,Moderate
18571,Perquimans,5,13049.0,Coastal,52.6,Low
18527,Dare,5,37817.0,Coastal,96.3,Moderate
18534,Franklin,5,70655.0,Eastern,139.4,Low
18548,Iredell,5,192986.0,Northern,325.0,Low
18549,Jackson,5,41919.0,Western,87.8,Error
18568,Pamlico,5,12215.0,Coastal,36.5,Error
18563,Nash,5,96101.0,Coastal,175.7,Low
18519,Cherokee,5,28738.0,Western,63.2,Moderate
18565,Northampton,5,16953.0,Eastern,32.6,Error
18567,Orange,5,148331.0,Eastern,374.0,Low
18562,Moore,5,102966.0,Eastern,142.9,Moderate
18591,Wake,5,1154170.0,Eastern,1353.3,Moderate
18550,Johnston,5,224833.0,Coastal,272.7,Moderate
18504,Ashe,5,26506.0,Northern,62.3,Moderate
18520,Chowan,5,13646.0,Coastal,79.4,Low
18566,Onslow,5,207928.0,Coastal,268.4,Moderate
18569,Pasquotank,5,40966.0,Coastal,178.8,Moderate
18585,Surry,5,70573.0,Northern,134.0,Low
18528,Davidson,5,171752.0,Northern,305.4,Low
18518,Chatham,5,77095.0,Eastern,111.9,Low
18533,Forsyth,5,387703.0,Northern,938.1,Low
18594,Watauga,5,54804.0,Northern,173.1,Low
18583,Stanly,5,62143.0,Central,158.2,Error
18503,Anson,5,22028.0,Central,41.5,Moderate
18582,Scotland,5,33662.0,Eastern,107.1,Moderate
18539,Greene,5,19978.0,Coastal,76.7,Moderate
18570,Pender,5,62250.0,Coastal,69.1,Error
18542,Harnett,5,134986.0,Eastern,224.5,Moderate
18517,Catawba,5,162841.0,Northern,400.2,Low
18509,Brunswick,5,144821.0,Coastal,160.8,Low
18521,Clay,5,11238.0,Western,51.6,Low
18552,Lee,5,64360.0,Eastern,248.1,Low
18505,Avery,5,17347.0,Western,72.0,Moderate
18592,Warren,5,18621.0,Eastern,43.4,Low
18514,Camden,5,10537.0,Coastal,43.1,Low
18577,Robeson,5,115899.0,Coastal,123.0,Moderate
18532,Edgecombe,5,48604.0,Coastal,96.7,Low
18560,Mitchell,5,14783.0,Western,67.4,Low
18522,Cleveland,5,99332.0,Western,214.4,Moderate
18529,Davie,5,43127.0,Northern,162.0,Low
18581,Sampson,5,58371.0,Coastal,62.4,Moderate
18510,Buncombe,5,271638.0,Western,410.4,Low
18574,Polk,5,19461.0,Western,81.3,Error
18545,Hertford,5,20374.0,Coastal,61.0,Moderate
18578,Rockingham,5,90457.0,Northern,161.0,Low
18559,Mecklenburg,5,1128426.0,Central,2130.4,Moderate
18587,Transylvania,5,32825.0,Western,87.2,Error
18596,Wilkes,5,65151.0,Northern,87.5,Moderate
18541,Halifax,5,47859.0,Coastal,67.2,Low
18556,Madison,5,21146.0,Western,47.1,Low
18575,Randolph,5,143325.0,Northern,184.3,Low
18530,Duplin,5,48249.0,Coastal,59.8,Moderate
18544,Henderson,5,117429.0,Western,311.8,Low
18508,Bladen,5,29171.0,Coastal,33.8,Substantial
18597,Wilson,5,79078.0,Coastal,214.3,Moderate
18553,Lenoir,5,54323.0,Coastal,138.1,Low
18576,Richmond,5,43006.0,Eastern,90.7,Moderate
18502,Alleghany,5,11057.0,Northern,46.4,Error
18599,Yancey,5,18320.0,Western,59.1,Error
18546,Hoke,5,53783.0,Eastern,133.5,Moderate
18512,Cabarrus,5,232873.0,Central,625.1,Moderate
18588,Tyrrell,5,3315.0,Coastal,8.3,Low
18513,Caldwell,5,81319.0,Northern,170.9,Error
18506,Beaufort,5,44150.0,Coastal,53.6,Moderate
18572,Person,5,39048.0,Eastern,99.7,Low
18523,Columbus,5,49795.0,Coastal,54.0,Low
18525,Cumberland,5,341793.0,Eastern,512.9,Moderate
18590,Vance,5,41665.0,Eastern,168.7,Low
18511,Burke,5,88398.0,Western,173.0,Error
18558,McDowell,5,44151.0,Western,101.3,Error
18537,Graham,5,7935.0,Western,27.5,Substantial
18595,Wayne,5,115895.0,Coastal,211.8,Moderate
18501,Alexander,5,36172.0,Northern,140.2,Moderate
18543,Haywood,5,62831.0,Western,112.2,Low
18524,Craven,5,102568.0,Coastal,142.5,Low
18540,Guilford,5,545484.0,Northern,838.0,Moderate
18536,Gates,5,10324.0,Coastal,30.8,Error
18586,Swain,5,14046.0,Western,26.8,Low
18589,Union,5,244960.0,Central,376.6,Moderate
18515,Carteret,5,69039.0,Coastal,133.3,Low
18507,Bertie,5,17302.0,Coastal,25.7,Low
18535,Gaston,5,233387.0,Central,640.7,Low
18573,Pitt,5,173536.0,Coastal,261.0,Moderate
18554,Lincoln,5,88742.0,Central,293.4,Moderate
18557,Martin,5,21503.0,Coastal,48.3,Moderate
18561,Montgomery,5,25485.0,Eastern,52.4,Moderate
18580,Rutherford,5,63870.0,Western,114.0,Low
18526,Currituck,5,29385.0,Coastal,107.3,Low
18500,Alamance,5,175029.0,Northern,404.8,Moderate
18547,Hyde,5,4595.0,Coastal,7.5,Low
18579,Rowan,5,148565.0,Northern,287.1,Moderate
18699,Yancey,6,18320.0,Western,59.1,Error
18636,Gates,6,10324.0,Coastal,30.8,Error
18604,Ashe,6,26506.0,Northern,62.3,Moderate
18650,Johnston,6,224833.0,Coastal,272.7,Moderate
18630,Duplin,6,48249.0,Coastal,59.8,Moderate
18672,Person,6,39048.0,Eastern,99.7,Moderate
18678,Rockingham,6,90457.0,Northern,161.0,Low
18666,Onslow,6,207928.0,Coastal,268.4,Moderate
